meta_genre,genre,sub_genre,micro_genre,value
Folk,Progressive Folk,,,
Folk,Psychedelic Folk,,,
Folk,Sung Poetry,,,
Folk,Techno-Folk,,,
Folk,German Folk,,,
Hip Hop,Alternative Rap,,,
Hip Hop,Avant-Garde,,,
Hip Hop,Bounce,,,
Hip Hop,Chap Hop,,,
Hip Hop,Christian Hip Hop,,,
Hip Hop,Conscious Hip Hop,,,
Hip Hop,Country-Rap,,,
Hip Hop,Grunk,,,
Hip Hop,Crunkcore,,,
Hip Hop,Cumbia Rap,,,
Hip Hop,Dirty South,,,
Hip Hop,East Coast,Brick City Club,,
Hip Hop,East Coast,Hardcore Hip Hop,,
Hip Hop,East Coast,Mafioso Rap,,
Hip Hop,East Coast,New Jersey Hip Hop,,
Hip Hop,Freestyle Rap,,,
Hip Hop,G-Funk,,,
Hip Hop,Gangsta Rap,,,
Hip Hop,Golden Age,,,
Hip Hop,Grime,,,
Hip Hop,Hardcore Rap,,,
Hip Hop,Hip-Hop,,,
Hip Hop,Hip Pop,,,
Hip Hop,Horrorcore,,,
Hip Hop,Hyphy,,,
Hip Hop,Industrial Hip Hop,,,
Hip Hop,Instrumental Hip Hop,,,
Hip Hop,Jazz Rap,,,
Hip Hop,Latin Rap,,,
Hip Hop,Low Bap,,,
Hip Hop,Lyrical Hip Hop,,,
Hip Hop,Merenrap,,,
Hip Hop,Midwest Hip Hop,Chicago Hip Hop,,
Hip Hop,Midwest Hip Hop,Detroit Hip Hop,,
Hip Hop,Midwest Hip Hop,Horrorcore,,
Hip Hop,Midwest Hip Hop,St. Louis Hip Hop,,
Hip Hop,Midwest Hip Hop,Twin Cities Hip Hop,,
Hip Hop,Motswako,,,
Hip Hop,Nerdcore,,,
Hip Hop,New Jack Swing,,,
Hip Hop,New School Hip Hop,,,
Hip Hop,Old School Rap,,,
Hip Hop,Rap,,,
Hip Hop,Trap,,,
Hip Hop,Turntablism,,,
Hip Hop,Underground Rap,,,
Hip Hop,West Coast Rap,,,
Jazz,Acid Jazz,,,
Jazz,Afro-Cuban Jazz,,,
Jazz,Avant-Garde Jazz,,,
Jazz,Bebop,,,
Jazz,Big Band,,,
Jazz,Blue Note,,,
Jazz,British Dance Band (Jazz),,,
Jazz,Cape Jazz,,,
Jazz,Chamber Jazz,,,
Jazz,Contemporary Jazz,,,
Jazz,Continental Jazz,,,
Jazz,Cool Jazz,,,
Jazz,Crossover Jazz,,,
Jazz,Dark Jazz,,,
Jazz,Dixieland,,,
Jazz,Early Jazz,,,
Jazz,Electro Swing,,,
Jazz,Ethio-jazz,,,
Jazz,Ethno-Jazz,,,
Jazz,European Free Jazz,,,
Jazz,Free Funk,,,
Jazz,Free Jazz,,,
Jazz,Fusion,,,
Jazz,Gypsy Jazz,,,
Jazz,Hard Bop,,,
Jazz,Indo Jazz,,,
Jazz,Jazz Blues,,,
Jazz,Jazz-Funk,,,
Jazz,Jazz-Fusion,,,
Jazz,Jazz Rap,,,
Jazz,Jazz Rock,,,
Jazz,Kansas City Jazz,,,
Jazz,Latin Jazz,,,
Jazz,M-Base Jazz,,,
Jazz,Mainstream Jazz,,,
Jazz,Modal Jazz,,,
Jazz,Neo-Bop,,,
Jazz,Neo-Swing,,,
Jazz,Nu Jazz,,,
Jazz,Orchestral Jazz,,,
Jazz,Post-Bop,,,
Jazz,Punk Jazz,,,
Jazz,Ragtime,,,
Jazz,Ska Jazz,,,
Jazz,Skiffle,,,
Jazz,Smooth Jazz,,,
Jazz,Soul Jazz,,,
Jazz,Swing Jazz,,,
Jazz,Straight-Ahead Jazz,,,
Jazz,Trad Jazz,,,
Jazz,Third Stream,,,
Jazz,West Coast Jazz,,,
Pop,Adult Contemporary,,,
Pop,Arab Pop,,,
Pop,Baroque,,,
Pop,Britpop,,,
Pop,Bubblegum Pop,,,
Pop,Chamber Pop,,,
Pop,Chanson,,,
Pop,Christian Pop,,,
Pop,Classical Crossover,,,
Pop,Europop,Austropop,,
Pop,Europop,Balkan Pop,,
Pop,Europop,French Pop,,
Pop,Europop,Latin Pop,,
Pop,Europop,Laïkó,,
Pop,Europop,Nederpop,,
Pop,Europop,Russian Pop,,
Pop,Dance Pop,,,
Pop,Dream Pop,,,
Pop,Electro Pop,,,
Pop,Iranian Pop,,,
Pop,Jangle Pop,,,
Pop,Latin Ballad,,,
Pop,Levenslied,,,
Pop,Louisiana Swamp Pop,,,
Pop,Mexican Pop,,,
Pop,Motorpop,,,
Pop,New Romanticism,,,
Pop,Orchestral Pop,,,
Pop,Pop Rap,,,
Pop,Popera,,,
Pop,Pop Rock,,,
Pop,Pop Punk,,,
Pop,Power Pop,,,
Pop,Psychedelic Pop,,,
Pop,Schlager,,,
Pop,Soft Rock,,,
Pop,Sophisti-Pop,,,
Pop,Space Age Pop,,,
Pop,Sunshine Pop,,,
Pop,Surf Pop,,,
Pop,Synthpop,,,
Pop,Teen Pop,,,
Pop,Traditional Pop Music,,,
Pop,Turkish Pop,,,
Pop,Vispop,,,
Pop,Wonky Pop,,,
Blues,Acoustic Blues,,,
Blues,African Blues,,,
Blues,Blues Rock,,,
Blues,Blues Shouter,,,
Blues,British Blues,,,
Blues,Canadian Blues,,,
Blues,Chicago Blues,,,
Blues,Classic Blues,,,
Blues,Classic Female Blues,,,
Blues,Contemporary Blues,,,
Blues,Contemporary R&B,,,
Blues,Country Blues,,,
Blues,Dark Blues,,,
Blues,Delta Blues,,,
